empleado_id,departamento,nivel_educacion,ciudad,zona_geografica,genero,estado_civil,tipo_vivienda,medio_transporte,hobby_principal,tipo_personalidad,modalidad_trabajo,edad,experiencia_anos,num_hijos,salario_anual,horas_semanales,horas_ejercicio_semana,horas_videojuegos_semana,horas_ocio_semana,horas_sueno_noche,nivel_estres,satisfaccion_laboral,productividad_score,dias_vacaciones,capacitaciones_ano
EMP_00001,Tecnología,Maestría,Ciudad de México,Centro,Femenino,Soltero,Hipotecada,Auto propio,Arte,Extrovertido,Híbrido,32,10,0,128025,42,12,6,27,6.1,5.4,10,100,26,8
EMP_00002,Legal,Licenciatura,Mérida,Sureste,Masculino,Casado,Propia,Auto propio,Viajes,Ambivertido,Híbrido,34,9,1,63983,46,8,6,7,7.4,7.3,8.4,94,20,3
EMP_00003,Tecnología,Licenciatura,Ciudad de México,Centro,Masculino,Casado,Rentada,Auto propio,Cocina,Introvertido,Híbrido,29,2,0,125414,37,6,16,28,7.5,2,10,94,22,5
EMP_00004,Diseño,Doctorado,Ciudad de México,Centro,Femenino,Soltero,Propia,Bicicleta,Arte,Extrovertido,Híbrido,41,14,1,143828,41,2,4,49,7.5,3.9,10,100,22,5
EMP_00005,Operaciones,Maestría,Monterrey,Norte,Femenino,Viudo,Hipotecada,Auto propio,Deportes,Extrovertido,Presencial,29,0,1,55247,43,13,7,19,8.2,5.3,7.5,100,21,3
EMP_00006,Ventas,Maestría,Querétaro,Centro,Masculino,Casado,Familiar,Transporte público,Tecnología,Introvertido,Híbrido,32,7,0,89559,41,5,23,17,6.9,5.7,8.3,97,22,3
EMP_00007,Marketing,Licenciatura,Ciudad de México,Centro,Masculino,Casado,Rentada,Auto propio,Lectura,Ambivertido,Presencial,28,5,0,74481,43,4,4,26,8,6.9,8.8,100,25,4
EMP_00008,Tecnología,Licenciatura,Tijuana,Norte,Masculino,Unión libre,Rentada,Transporte público,Cocina,Introvertido,Remoto,29,3,0,108368,40,4,4,21,8.1,5.4,10,96,24,7
EMP_00009,Diseño,Maestría,Ciudad de México,Centro,Femenino,Casado,Rentada,Auto propio,Viajes,Extrovertido,Híbrido,31,6,0,99873,36,2,8,28,7.6,4.7,10,100,24,6
EMP_00010,Ventas,Bachillerato,Guadalajara,Occidente,Masculino,Casado,Hipotecada,Bicicleta,Música,Extrovertido,Remoto,25,0,0,47305,37,1,4,33,8.4,6.5,7.7,96,21,5
EMP_00011,Finanzas,Licenciatura,Ciudad de México,Centro,Femenino,Casado,Hipotecada,Motocicleta,Videojuegos,Extrovertido,Presencial,25,3,0,77930,52,9,6,22,5.2,4.7,8.2,100,22,3
EMP_00012,Diseño,Maestría,Querétaro,Centro,Masculino,Casado,Propia,Transporte público,Videojuegos,Introvertido,Remoto,27,1,0,26553,41,7,47,25,8,4.8,8.3,85,14,8
EMP_00013,Tecnología,Bachillerato,Monterrey,Norte,Femenino,Soltero,Propia,Auto propio,Tecnología,Ambivertido,Remoto,26,0,0,71901,42,7,16,29,7.7,5.2,10,100,22,6
EMP_00014,Finanzas,Licenciatura,León,Centro,Femenino,Casado,Hipotecada,Uber/Taxi,Arte,Extrovertido,Presencial,30,5,1,89649,50,1,3,5,7.7,8.1,7.8,76,21,3
EMP_00015,Operaciones,Maestría,Guadalajara,Occidente,Femenino,Casado,Hipotecada,Auto propio,Tecnología,Ambivertido,Presencial,36,8,0,83368,47,1,16,28,6.7,8.9,8.1,97,23,2
EMP_00016,Operaciones,Maestría,Ciudad de México,Centro,Masculino,Soltero,Familiar,Auto propio,Lectura,Extrovertido,Presencial,29,7,0,76637,45,9,5,30,7.7,5.9,10,96,24,2
EMP_00017,Ventas,Licenciatura,Querétaro,Centro,Masculino,Soltero,Rentada,Transporte público,Videojuegos,Introvertido,Presencial,26,0,0,54262,39,3,0,39,7.7,6.6,7.1,100,21,3
EMP_00018,Tecnología,Doctorado,Guadalajara,Occidente,Femenino,Casado,Rentada,Transporte público,Cocina,Ambivertido,Remoto,28,5,1,128473,39,2,2,16,8.3,4.8,10,100,22,7
